Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-08-04,2014,8,4,Monday,31,2014-31,73.38,73.63,73.06,73.54,5402100.0,63.55,0.0,75.705,75.98820000000003
2014-08-05,2014,8,5,Tuesday,31,2014-31,73.31,73.52,72.77,73.34,10579900.0,63.38,-0.0027196705894314555,75.45357142857142,75.94280000000003
2014-08-06,2014,8,6,Wednesday,31,2014-31,73.19,74.29,73.18,74.2,7934800.0,64.54,0.011726215616229219,75.28142857142858,75.91500000000002
2014-08-07,2014,8,7,Thursday,31,2014-31,74.34,74.81,73.76,73.95,7049000.0,64.32,-0.003369272375770893,75.05714285714286,75.88340000000002
2014-08-08,2014,8,8,Friday,31,2014-31,74.06,74.73,73.85,74.67,4996300.0,64.95,0.009736325225368825,74.90714285714287,75.85720000000002
2014-08-11,2014,8,11,Monday,32,2014-32,74.29,74.6,74.02,74.36,4721400.0,64.68,-0.004151567780842358,74.74428571428572,75.80900000000003
2014-08-12,2014,8,12,Tuesday,32,2014-32,74.31,74.44,74.01,74.22,3928200.0,64.56,-0.0018827244284469469,74.54642857142858,75.75820000000002
2014-08-13,2014,8,13,Wednesday,32,2014-32,74.27,74.41,73.51,74.03,6619100.0,64.39,-0.0025599897370151004,74.38071428571429,75.70460000000001
2014-08-14,2014,8,14,Thursday,32,2014-32,73.89,74.43,73.61,74.39,6136300.0,64.71,0.004862901746423454,74.26785714285715,75.64980000000001
2014-08-15,2014,8,15,Friday,32,2014-32,74.65,74.65,73.49,73.9,6942700.0,64.28,-0.006586878179726363,74.13857142857145,75.58140000000002
2014-08-18,2014,8,18,Monday,33,2014-33,74.15,74.68,74.05,74.49,4015700.0,64.79,0.00798371212054727,74.0707142857143,75.527
2014-08-19,2014,8,19,Tuesday,33,2014-33,74.81,74.94,74.14,74.88,5047900.0,65.13,0.005235594050649439,74.07785714285717,75.48440000000001
2014-08-20,2014,8,20,Wednesday,33,2014-33,74.83,75.05,74.51,74.96,4898300.0,65.2,0.0010684005607524139,74.1764285714286,75.45120000000001
2014-08-21,2014,8,21,Thursday,33,2014-33,75.06,75.91,75.0,75.55,5260600.0,65.72,0.007870917482539985,74.32000000000004,75.43900000000002
2014-08-22,2014,8,22,Friday,33,2014-33,75.78,76.2,75.64,75.73,4137800.0,65.87,0.0023825320702166586,74.47642857142861,75.43900000000002
2014-08-25,2014,8,25,Monday,34,2014-34,75.93,76.02,75.51,75.69,3393600.0,65.84,-0.0005282043279307702,74.64428571428576,75.44720000000001
2014-08-26,2014,8,26,Tuesday,34,2014-34,75.83,76.15,75.44,75.52,4222900.0,65.69,-0.00224607996903492,74.73857142857148,75.45080000000002
2014-08-27,2014,8,27,Wednesday,34,2014-34,75.51,75.86,75.44,75.85,3200400.0,65.98,0.004369727830026093,74.87428571428575,75.46800000000002
2014-08-28,2014,8,28,Thursday,34,2014-34,75.47,75.94,75.47,75.9,2923700.0,66.02,0.0006592360285264665,74.9621428571429,75.47200000000002
2014-08-29,2014,8,29,Friday,34,2014-34,75.75,75.88,75.29,75.5,5080500.0,65.67,-0.005270112224471046,75.04357142857147,75.46460000000002
2014-09-02,2014,9,2,Tuesday,35,2014-35,75.42,75.94,75.41,75.75,4532400.0,65.89,0.0033112582781456013,75.15285714285719,75.46600000000002
2014-09-03,2014,9,3,Wednesday,35,2014-35,75.95,76.33,75.88,76.01,4709400.0,66.12,0.0034323714353856616,75.29428571428575,75.47040000000003
2014-09-04,2014,9,4,Thursday,35,2014-35,76.16,76.6,76.11,76.56,5282300.0,66.59,0.007235829586973885,75.44928571428575,75.48220000000003
2014-09-05,2014,9,5,Friday,35,2014-35,76.52,77.73,76.48,77.51,7841800.0,67.42,0.012408628630240726,75.70714285714288,75.52000000000004
2014-09-08,2014,9,8,Monday,36,2014-36,77.13,77.32,76.43,76.53,5938900.0,66.57,-0.01264357282833195,75.85285714285716,75.55240000000005
2014-09-09,2014,9,9,Tuesday,36,2014-36,76.56,77.0,76.17,76.74,5632000.0,66.75,0.0027440100329580996,75.9857142857143,75.58040000000004
2014-09-10,2014,9,10,Wednesday,36,2014-36,76.79,77.08,76.37,76.51,6697100.0,66.55,-0.00299707758589407,76.09642857142858,75.60920000000004
2014-09-11,2014,9,11,Thursday,36,2014-36,76.35,76.44,76.09,76.1,4953300.0,66.19,-0.00535882434533641,76.13571428571429,75.62560000000003
2014-09-12,2014,9,12,Friday,36,2014-36,75.97,76.05,75.66,75.77,5652300.0,65.91,-0.004336423622490759,76.13857142857144,75.62860000000003
2014-09-15,2014,9,15,Monday,37,2014-37,75.78,75.89,75.61,75.81,3748500.0,65.94,0.0005279255285675077,76.14714285714285,75.62980000000003
2014-09-16,2014,9,16,Tuesday,37,2014-37,75.64,76.57,75.6,76.32,4109500.0,66.39,0.006727373072875853,76.2042857142857,75.63480000000003
